id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P11-T02,P11,Defence practitioner,criminal-justice,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC15 | SC18 | SC19 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P11-T03,P11,Defence practitioner,criminal-justice,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC09 | SC15 | SC18 | SC19 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P11-T04,P11,Defence practitioner,criminal-justice,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC09 | SC15 | SC18 | SC19 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P11-T06,P11,Defence practitioner,criminal-justice,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC15 | SC18 | SC19 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P11-T09,P11,Defence practitioner,criminal-justice,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC09 | SC15 | SC18 | SC19,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P11-T10,P11,Defence practitioner,criminal-justice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC09 | SC15 | SC18 | SC19 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P11-T11,P11,Defence practitioner,criminal-justice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC09 | SC15 | SC18 | SC19 | SC20,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P11-T17,P11,Defence practitioner,criminal-justice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC15 | SC18 | SC19,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P11-T19,P11,Defence practitioner,criminal-justice,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC09 | SC15 | SC18 | SC19 | SC17 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC027 | SRC028 | SRC029,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P12-T01,P12,Government lawyer,government,T01,Locate controlling authority,binding-authority,SC01 | SC02 | SC09 | SC22 | SC24 | SC10,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P12-T02,P12,Government lawyer,government,T02,Determine whether law is in force,binding-authority,SC01 | SC02 | SC09 | SC22 | SC24 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P12-T03,P12,Government lawyer,government,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC02 | SC09 | SC22 | SC24 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P12-T04,P12,Government lawyer,government,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC02 | SC09 | SC22 | SC24 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P12-T05,P12,Government lawyer,government,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC02 | SC09 | SC22 | SC24 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P12-T06,P12,Government lawyer,government,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC02 | SC09 | SC22 | SC24 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P12-T07,P12,Government lawyer,government,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC02 | SC09 | SC22 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live. Qualified human review is mandatory before consequential use.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",True
P12-T11,P12,Government lawyer,government,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC02 | SC09 | SC22 | SC24 | SC20,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P12-T12,P12,Government lawyer,government,T12,Research legislative intent,history | binding-authority,SC01 | SC02 | SC09 | SC22 | SC24 | SC03 | SC25 | SC26,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Official Bill/stage documents, Hansard passages, explanatory notes and enacted text.",Historical source set fixed; later interpretation segregated. Qualified human review is mandatory before consequential use.,ministerial statement treated as law | wrong Bill version | selective quotation,History is connected to enacted provisions without overstating interpretive weight.,True
P12-T13,P12,Government lawyer,government,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC02 | SC09 | SC22 | SC24 | SC04 | SC21,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P12-T15,P12,Government lawyer,government,T15,Draft or check legal instruments,binding-authority | history | procedural-material,SC01 | SC02 | SC09 | SC22 | SC24 | SC03 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Enabling provisions, drafting guidance, precedents with status, current affected law and versioned draft.",Live at drafting/clearance milestones. Qualified human review is mandatory before consequential use.,wrong enabling power | defective cross-reference | extent/commencement mismatch,Each drafting proposition and dependency is traceable; human counsel approves.,True
P12-T17,P12,Government lawyer,government,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC02 | SC09 | SC22 | SC24,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P12-T18,P12,Government lawyer,government,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC02 | SC09 | SC22 | SC24 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies. Qualified human review is mandatory before consequential use.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",True
P12-T19,P12,Government lawyer,government,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC02 | SC09 | SC22 | SC24 | SC17 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC022 | SRC031 | SRC034 | SRC017 | SRC044,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P13-T02,P13,Parliamentary counsel,government,T02,Determine whether law is in force,binding-authority,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC04,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P13-T03,P13,Parliamentary counsel,government,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P13-T04,P13,Parliamentary counsel,government,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P13-T05,P13,Parliamentary counsel,government,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC02 | SC03 | SC05 | SC24 | SC26,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P13-T07,P13,Parliamentary counsel,government,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC04,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live. Qualified human review is mandatory before consequential use.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",True
P13-T08,P13,Parliamentary counsel,government,T08,Compare jurisdictions,binding-authority | procedural-material,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC15,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,Separate authoritative sources per jurisdiction with explicit non-equivalence.,Same effective date across compared systems. Qualified human review is mandatory before consequential use.,English rule generalised to UK | same label assumed same concept | asynchronous reform ignored,"Differences, commonalities, dates and institutional contexts are separately sourced.",True
P13-T12,P13,Parliamentary counsel,government,T12,Research legislative intent,history | binding-authority,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC25,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Official Bill/stage documents, Hansard passages, explanatory notes and enacted text.",Historical source set fixed; later interpretation segregated. Qualified human review is mandatory before consequential use.,ministerial statement treated as law | wrong Bill version | selective quotation,History is connected to enacted provisions without overstating interpretive weight.,True
P13-T13,P13,Parliamentary counsel,government,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC04 | SC21,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P13-T15,P13,Parliamentary counsel,government,T15,Draft or check legal instruments,binding-authority | history | procedural-material,SC01 | SC02 | SC03 | SC05 | SC24 | SC26,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Enabling provisions, drafting guidance, precedents with status, current affected law and versioned draft.",Live at drafting/clearance milestones. Qualified human review is mandatory before consequential use.,wrong enabling power | defective cross-reference | extent/commencement mismatch,Each drafting proposition and dependency is traceable; human counsel approves.,True
P13-T17,P13,Parliamentary counsel,government,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC09,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P13-T18,P13,Parliamentary counsel,government,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies. Qualified human review is mandatory before consequential use.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",True
P13-T20,P13,Parliamentary counsel,government,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC02 | SC03 | SC05 | SC24 | SC26 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC006 | SRC044 | SRC003 | SRC004 | SRC017 | SRC045 | SRC051 | SRC052,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve. Qualified human review is mandatory before consequential use.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",True
P14-T01,P14,Legislator,legislature,T01,Locate controlling authority,binding-authority,SC03 | SC24 | SC25 | SC26 | SC01 | SC09 | SC10,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC002 | SRC007 | SRC009,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P14-T02,P14,Legislator,legislature,T02,Determine whether law is in force,binding-authority,SC03 | SC24 | SC25 | SC26 | SC04 | SC05,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC002 | SRC007 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P14-T04,P14,Legislator,legislature,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC03 | SC24 | SC25 | SC26 | SC14 | SC30,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC009 | SRC011 | SRC012,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P14-T07,P14,Legislator,legislature,T07,Construct a chronology,binding-authority | history | official-guidance,SC03 | SC24 | SC25 | SC26 | SC04,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC002 | SRC007,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P14-T08,P14,Legislator,legislature,T08,Compare jurisdictions,binding-authority | procedural-material,SC03 | SC24 | SC25 | SC26 | SC01 | SC15,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC002 | SRC007 | SRC018,Separate authoritative sources per jurisdiction with explicit non-equivalence.,Same effective date across compared systems.,English rule generalised to UK | same label assumed same concept | asynchronous reform ignored,"Differences, commonalities, dates and institutional contexts are separately sourced.",False
P14-T12,P14,Legislator,legislature,T12,Research legislative intent,history | binding-authority,SC03 | SC24 | SC25 | SC26,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052,"Official Bill/stage documents, Hansard passages, explanatory notes and enacted text.",Historical source set fixed; later interpretation segregated.,ministerial statement treated as law | wrong Bill version | selective quotation,History is connected to enacted provisions without overstating interpretive weight.,False
P14-T13,P14,Legislator,legislature,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC03 | SC24 | SC25 | SC26 | SC04 | SC21,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC002 | SRC007 | SRC032,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P14-T15,P14,Legislator,legislature,T15,Draft or check legal instruments,binding-authority | history | procedural-material,SC03 | SC24 | SC25 | SC26 | SC01 | SC02 | SC05,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC002 | SRC007 | SRC047,"Enabling provisions, drafting guidance, precedents with status, current affected law and versioned draft.",Live at drafting/clearance milestones.,wrong enabling power | defective cross-reference | extent/commencement mismatch,Each drafting proposition and dependency is traceable; human counsel approves.,True
P14-T16,P14,Legislator,legislature,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC03 | SC24 | SC25 | SC26 | SC22 | SC28,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC022 | SRC031 | SRC034,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P14-T18,P14,Legislator,legislature,T18,Identify institutional competence,binding-authority | legal-service-information,SC03 | SC24 | SC25 | SC26 | SC14 | SC30,SRC001 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC009 | SRC011 | SRC012,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",False
P15-T01,P15,Policy official or Bill team,government,T01,Locate controlling authority,binding-authority,SC01 | SC03 | SC24 | SC25 | SC26 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC009,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P15-T02,P15,Policy official or Bill team,government,T02,Determine whether law is in force,binding-authority,SC01 | SC03 | SC24 | SC25 | SC26 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P15-T03,P15,Policy official or Bill team,government,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC03 | SC24 | SC25 | SC26 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC015,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P15-T04,P15,Policy official or Bill team,government,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC03 | SC24 | SC25 | SC26 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC009,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P15-T07,P15,Policy official or Bill team,government,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC03 | SC24 | SC25 | SC26 | SC04,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live. Qualified human review is mandatory before consequential use.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",True
P15-T08,P15,Policy official or Bill team,government,T08,Compare jurisdictions,binding-authority | procedural-material,SC01 | SC03 | SC24 | SC25 | SC26 | SC15,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC018,Separate authoritative sources per jurisdiction with explicit non-equivalence.,Same effective date across compared systems. Qualified human review is mandatory before consequential use.,English rule generalised to UK | same label assumed same concept | asynchronous reform ignored,"Differences, commonalities, dates and institutional contexts are separately sourced.",True
