id,title,owning_institution,jurisdictions,authority_classes,source_classes,legal_force_or_role,corpus_boundary,coverage_status,access_statuses,access_test_date,recommended_ingestion_method,known_omissions_or_inconsistencies,primary_url
SRC059,The Gazette,The Stationery Office under authority of HM Government,United Kingdom | England and Wales | Scotland | Northern Ireland,history | binding-authority,SC29,Official permanent public record; particular notice legal effects derive from the governing statute/process.,"London, Edinburgh and Belfast Gazette notices including insolvency, company, planning, honours and public appointments.",complete against official enumerated source,verified working | verified working,2026-07-25,"Use API/RDF for metadata, preserve permanent URL and digital-signature evidence, hydrate notice text on demand.","A notice is evidence of publication, not necessarily proof that all substantive conditions were met or remain current.",https://www.thegazette.co.uk/
SRC060,Local authority byelaws and local legal publications,Local authorities and other byelaw-making bodies,England | Wales | Scotland | Northern Ireland,binding-authority,SC07,Locally made rules with force of law within their enabling power and geographic area.,"Byelaws, local schemes, orders and registers published across hundreds of local/public bodies.",unknown or not yet researched,verified working | documented but not tested,2026-07-25,Discovery ledger per authority; metadata-only until an authoritative document/register is found; never claim national completeness.,"No central record, uneven digitisation, revocation gaps, ambiguous local identifiers.",https://www.gov.uk/guidance/local-government-legislation-byelaws
SRC061,Legal Aid Agency eligibility and service information,Legal Aid Agency / Ministry of Justice,England and Wales,legal-service-information | official-guidance,SC28,"Official eligibility and access information; individual entitlement depends on law, means/merits and case facts.","Civil/criminal legal aid eligibility, calculators, provider finding, exceptional case funding and forms.",progressively resolved,verified working | verified working,2026-07-25,Discovery and rule-source links only; no automated entitlement conclusion without facts and escalation.,Simplified service questions do not resolve every legal-aid entitlement; Scotland/NI use separate systems.,https://www.gov.uk/check-legal-aid
SRC062,Scottish Legal Aid Board information,Scottish Legal Aid Board,Scotland,legal-service-information | official-guidance,SC28,Official Scottish legal-aid service information; entitlement is fact- and scheme-dependent.,"Eligibility, applications, solicitor/provider information and practitioner guidance.",partially complete,verified working,2026-07-25,Separate jurisdiction pack and escalation to SLAB/qualified adviser for entitlement decisions.,No cross-UK equivalence; guidance does not substitute for regulations or case assessment.,https://www.slab.org.uk/
SRC063,Legal aid and public legal assistance in Northern Ireland,Department of Justice NI / Legal Services Agency NI,Northern Ireland,legal-service-information | official-guidance,SC28,Official Northern Ireland legal-aid/service information; entitlement depends on local legislation and facts.,"Legal aid guidance, forms, provider and scheme information.",partially complete,verified working,2026-07-25,Northern Ireland service-information pack with controlling-legislation links and human escalation.,No UK-wide harmonisation; guidance can be simplified.,https://www.justice-ni.gov.uk/topics/legal-aid
SRC064,GOV.UK and devolved public legal guidance,Government Digital Service and responsible public bodies,United Kingdom | England and Wales | Scotland | Northern Ireland,official-guidance | legal-service-information,SC22 | SC28,Official public explanation/service guidance; not controlling law unless the page itself publishes a statutory instrument/code.,"Rights, obligations, process and service guidance across GOV.UK, mygov.scot, GOV.WALES and nidirect.",partially complete,verified working | verified working | verified working | verified working,2026-07-25,Discovery and plain-language layer linked to authoritative sources; never rank above controlling authority.,"Guidance may simplify, omit exceptions or lag legal change; platforms cover different competencies.",https://www.gov.uk/browse/justice
SRC065,Bar Standards Board Handbook and decisions,Bar Standards Board,England and Wales,delegated-administrative-rules | official-guidance,SC34 | SC21,Regulatory rules for barristers/entities under statutory regulatory framework; guidance/decisions have distinct roles.,"BSB Handbook, rule changes, guidance, disciplinary/enforcement decisions and sanctions.",partially complete,verified working,2026-07-25,Professional-regulator pack with provision type and version model shared with FCA/PRA adapters.,Guidance and mandatory rules can be adjacent; decision registers may have retention limits.,https://www.barstandardsboard.org.uk/for-barristers/bsb-handbook-and-code-guidance.html
SRC066,SRA Standards and Regulations and decisions,Solicitors Regulation Authority,England and Wales,delegated-administrative-rules | official-guidance,SC34 | SC21,Regulatory requirements for solicitors/firms; guidance and disciplinary decisions have distinct force.,"Standards and Regulations, guidance, waivers, disciplinary decisions and interventions.",partially complete,verified working | verified working,2026-07-25,Regulator model with privacy-aware person/entity records and time-bounded decision state.,Register results are operationally current and may not provide full historical context; rules vs guidance must be distinguished.,https://www.sra.org.uk/solicitors/standards-regulations/
SRC067,Judicial and tribunal office reference sources,Judicial Office / HMCTS / devolved judicial bodies,United Kingdom | England and Wales | Scotland | Northern Ireland,legal-service-information,SC14 | SC30,"Official reference information about courts, tribunals and office-holders; not substantive law.","Court/tribunal descriptions, jurisdiction, judiciary lists and organisational structure.",partially complete,verified working | verified working,2026-07-25,"Curated authority registry with temporal identities, source citations and no automatic sameAs from labels.",Names are not stable identifiers; court reorganisations and acting appointments complicate identity.,https://www.judiciary.uk/courts-and-tribunals/
SRC068,Official law reports and ICLR platform,Incorporated Council of Law Reporting for England and Wales,England and Wales,contextual-material | persuasive-authority,SC12 | SC13 | SC36,Authorised law reports are highly significant for citation practice; the reporter/editorial apparatus is not an official government source and access is partly commercial.,"Law reports, case summaries, citations and citator/editorial services.",licence-restricted,verified working,2026-07-25,"Metadata-only optional connector, never a required public-core dependency; licensed integration as a separate provider.",Not freely or wholly reusable; editorial treatment must not be represented as official court metadata.,https://www.iclr.co.uk/
SRC069,Westlaw UK and Lexis+ legal research services,Thomson Reuters / LexisNexis,United Kingdom,contextual-material,SC13 | SC36,Commercial editorial databases/citators; valuable but not official sources of legal authority.,"Legislation, case law, citator treatment, commentary, forms and journals under subscription.",licence-restricted,verified working | verified working,2026-07-25,"Document as optional licensed connectors and a gap in public citator capability, not as a core ingestion source.",Unavailable as public open data; treatment signals cannot be copied into open bundle without rights.,https://legal.thomsonreuters.com/en/products/westlaw
SRC070,UK Web Archive legal and government collections,The National Archives / British Library partners,United Kingdom,history,SC35,Archived web evidence; not necessarily current or authoritative at the time of use.,"Captured government, regulatory, inquiry and legal websites that have changed or closed.",partially complete,verified working,2026-07-25,Use as historical fallback with prominent capture date and no live-currentness inference.,Capture gaps; replay may omit scripts/assets; archived guidance is not current.,https://webarchive.nationalarchives.gov.uk/
SRC071,Devolved government statutory guidance and regulatory publications,Scottish Government / Welsh Government / Northern Ireland departments,Scotland | Wales | Northern Ireland,official-guidance | delegated-administrative-rules,SC22 | SC20,"Statutory guidance, directions and policy documents whose legal force depends on local enabling law.","Cross-department devolved guidance, circulars, codes and regulatory documents.",partially complete,verified working | verified working | verified working,2026-07-25,Classifier-assisted discovery but human-reviewed authority/force typing before publication.,"Publication catalogues mix binding directions, statutory guidance, policy and consultation.",https://www.gov.scot/publications/
SRC072,Official public-body register and organisation data,GOV.UK / responsible administrations / Companies House where relevant,United Kingdom,legal-service-information,SC30,Reference data about public bodies and organisations; not proof of legal competence without founding/empowering source.,"Government organisation pages, public bodies lists, departmental roles and related identifiers.",partially complete,verified working,2026-07-25,Curated institution registry linked to legislation and source records with temporal lineage.,Directory membership does not establish every statutory power; identity changes create duplicates.,https://www.gov.uk/government/organisations
